Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID
CHEMBL4086986,,0,379.31,0,2.29,7a,CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',348,nM,6.46,,,UO_0000065,17.03,0.38,4.17,8.72,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
CHEMBL4098997,,0,393.33,0,2.68,7d,CCN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,IC50,'=',73,nM,7.14,,,UO_0000065,18.14,0.41,4.46,9.64,False,CHEMBL4022939,"Inhibition of human recombinant full length C-terminal His-tagged acidic mammalian chitinase expressed in CHO-K1 cells using 4-methylumbelliferyl-beta-D-N,N'-diacetylchitobioside hydrate as substrate after 60 mins by fluorescence assay",B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL1293197,Acidic mammalian chitinase,Homo sapiens,SINGLE PROTEIN,CHEMBL4020821,1,Scientific Literature,J Med Chem,2018,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,CHEMBL1215474,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,CHEMBL1215473,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(C2CC2)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4091907,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(C)c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)NNC(N)=S)cc1,CHEMBL2413400,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)CC3CCCCC3)CC2)n1,CHEMBL4082060,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4065553,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)c1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4071081,4137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4076989,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4072036,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3cccc4ccccc34)CC2)n1,CHEMBL4084573,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4103842,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cc1ccc(CCN(C)C2CCN(c3nc(N)n[nH]3)CC2)cc1,CHEMBL4081105,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4068944,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Cl)cc1Cl)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4084148,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@@H]3[C@@H](CO)[C@@H]4OC(N(C)C)=N[C@@H]4[C@H]3O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL1230997,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CC(C)N(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4075848,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3Cl)CC2)n1,CHEMBL4077644,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCN(CCOc3ccc(Br)cc3)CC2)n1,CHEMBL1215473,5450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O,CHEMBL197199,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3)CC2)n1,CHEMBL4077482,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4086986,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,CCN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1,CHEMBL4098997,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
